Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Autumn Spice Hybrid|Crookham Company, Caldwell, Idaho.||very early maturity, of excellent keeping quality; bulb size and shape highly uniform; good prepack onion.|a Long Day Storage type.|areas where B.Y.G. and similar O.P. cultivars are grown. 1953.||closed.
Autumn Splendor Hybrid|Crookham Company, Caldwell, Idaho.||a long-day storage type; an excellent keeper of early to medium maturity; produces yields equal to Brigham Yellow Globe; very uniform.||areas where B.Y.G. and similar open pollinated cultivars are grown. 1959.||closed.
Autumn Surprise (XP Hybrid Crk N49)|Crookham Co.|Crookham Co.|early to midseason Spanish hybrid similar to El Capitan; handles well, high percent of single hearts; mild, high quality white interior.|Yellow Sweet Spanish.|areas where Yellow Sweet Spanish is grown. 1976.|tolerance to a high level of pink rot and diseases common to the Idaho and eastern Oregon area.|F1 hybrid, (P52-371A x closed B line) x closed pollinator.
Avalanche (79 C243R4)|Dessert Seed Co.|Dessert Seed Co.|F1 hybrid, large, uniform, White Sweet Spanish type.|Ringmaster.|wide. 1982.|pink root.|
Aztec|Dakota.|Dakota.|early maturing, high yielding, Spanish, yellow.|Golden Cascade. 1990.||pink root, fusarium.|
Baja Verde (PS 290311)|Seminis-Petoseed.|Seminis-Petoseed.|bunching onion.|Rio Verde.|Southern California, Mexico. 1999.|pink root.|F1 hybrid.
Barletta||Vilmorin. 1952.|||||
Bastille (XP 77004)|Seminis-Asgrow.|Seminis-Asgrow.|second early storage onion approximately 100 days.||northeast U.S. and Canada. 2000.||F1 hybrid.
Beltsville Bunching|USDA and California Agric. Expt. Sta.||very vigorous, light seeder.|Nebuka.|wide regional. 1951.|pink root, yellow dwarf, smut, and thrips.|White Portugal 3-203-113-5 x Nebuka, an amphidiploid.
Ben New York State Red|Joseph Harris Co.|Joseph Harris Co.|large red, nearly round long-day onion, a few doubles.|Southport Red Globe.|northern United States mucklands and upland (transplant). Joseph Harris Company Catalog, 1968.||
Benchmark (XPH 3311)|S.Hendricks.|Asgrow.|long day yellow storage, good yield, globe shaped bulb; excellent skin quality, firmness, neck size, storage.|Sweet Sandwich. 1989.||pink root, fusarium.|
Big Burger|W. Atlee Burpee and Co. 2000.|W. Atlee Burpee and Co. 2000.|||||
Big Daddy (163-540)|Seminis-Petoseed.|Seminis-Petoseed.||Vega.|Oregon, Washington, Idaho.|Pink root.|F1 hybrid.
Big Mac (N96)|Crookham Co.|Crookham Co.|F1 hybrid, for green topping, high yields of 3' and larger onions, for storage when matured.|Yellow Sweet Spanish.|wide. 1981.|tolerance to pink root and fusarium strains.|
Big Mama (163-176)|Seminis-Petoseed.|Seminis-Petoseed.||Impact.|Northeast U.S., Midwest U.S., Canada. 1998.|Fusarium.|F1 hybrid.
Big Top (FMX152)|H.Sakamoto.|Ferry-Morse.|Grano type hybrid producing large to jumbo, full, slightly rounded bulbs, excellent yield.|Texas Early Grano. 1983.||pink root.|
Bingo||Stokes. 1988.|||||
Blaze|Dakota.|Dakota.|hybrid, red, overwintering.|||pink root. 1994.|
Blitz|USDA.|Similar: Spartan Sleeper.|excellent storage quality.|Resistance: tolerance to Alternaria.|long-day areas requiring early maturity. 1987.|pink root.|F1 hybrid (B6693A x B2923B) x B7728B.
Bonanza|USDA, Idaho Agric. Expt. Sta., Moscow, and Iowa Agric. Expt. Sta., Ames.||F1 hybrid, large plant size, nonglossy foliage, late maturity; bulbs medium size, yellow, high globe, pungent, very firm, long storage.|Brigham Yellow Globe.|where Brigham Yellow Globe is adapted. Elmo Davis, 16 Apr. 1962.||B2190A x B2215C Brigham Yellow Globe inbreds.
Boulder|Dakota.|Dakota.|yellow long day, hard storage type.|Legacy. 1993.||pink root, fusarium.|
Brahma (DEXP 2008)|Dessert Seed Co.|Dessert Seed Co.|F1 hybrid, early Yellow Spanish type with long storage.|Fiesta.|northern United States. 1978.|unknown.|
Bravado (DEXP 490-2)|Sunseeds.|Sunseeds.|main season Yellow Spanish type capable of high yields of large bulbs with a high frequency of single centers.|Yellow Sweet Spanish. 1988.||pink root.|
Bravo (AX 1846)|Aristogenes.|Aristogenes.|outstanding vigor and yield, good uniformity and storage qualities.|Vega. 1989.||pink root.|
Brilliant (ARCO 3059W)|ARCO Seed Co.|ARCO Seed Co.|F1 hybrid, early with glossy white bulbs; more bolt-resistant than similar cultivars.|Early Supreme.|short-day areas. 1987.|pink root.|
Bronco|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, early maturing, long storage, yellow onion.|Autumn Spice.|Canada and Northern United States. 1966.||
Bronze Age|K.McLellan, P.Olesen and Associates; Parma, Idaho.|Ferry-Morse.|mid-late season Elite type with heavy yielding ability, better storability.||northeastern United States. 1969.||closed.
Bronze Marvel (H number 136)|Crookham Co.|Crookham Co.|hybrid, midseason, uniform dark brown Spanish hybrid that yields with Yellow Sweet Spanish and handles well with mechanical equipment.|Yellow Sweet Spanish.|Yellow Sweet Spanish areas. 1970.||
Bronze Perfection|USDA, Wisconsin Agric. Expt. Sta., Madison, and Idaho Agric. Expt. Sta., Moscow.||F1 hybrid, plant size large, foliage gray, semi-glossy; bulbs large, late maturity, dark yellow to bronze, globe shape long storage, firm.|Yellow Sweet Spanish.|areas where Sweet Spanish is grown. Onion Hyb. Bronze Perfection USDA release, 5 March 1957.||B12132A x B2215C Yellow Sweet Spanish inbred x Brigham Yellow Globe inbred.
Bronze Reserve [(X42 M4) E0206]|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, early long-day type with good storage characteristics; bulbs very hard, medium size, medium dark bronze with a high gloss; shoulders well-defined, neck very small; scales adhere well.|Fusario Series.|wide. 1981.|tolerance to bottom rot.|
Bronze Wonder (Hy. 110A)|Crookham Co.|Crookham Co.|hybrid, high yielding, outstanding keeping, Spanish type; mechanical harvest.|Yellow Sweet Spanish.|Spanish type areas. 1968.||
Characteristics:|Adaptation:|Similar:|Breeder:|Resistance:||Parentage:|Name: Brown 5 - Same as Australian Brown UC Number 5.
Brown Baron (XPH 3860)|S.Hendricks.|Asgrow.|excellent skin quality and bulb uniformity, globe shaped bulbs.|Brown Beauty. 1994.||pink root, fusarium.|
Brown Beauty Hybrid|Crookham Co., Caldwell, Idaho.||early high yielding B.Y.G. type; very uniform, dark brown, stores well; produces more marketable bulbs than regular open pollinated cultivars.|long-day medium storage cultivar.|areas where B.Y.G. and similar O.P. cultivars are grown. 1954.||closed.
Brownkeep (XP 7519021)|David Dean.|Seminis-Asgrow.|yellow globe shape, hard storage onion, medium dark brown scales, can be stored 4 to 6 months.|Australian Brown.|New Zealand, Australia, South Africa. 2000.|Fusarium basal rot.|open pollinated.
Buccaneer (C610)|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, yellow, early maturing, long storage.|Autumn Spice.|Canada and the northern United States. 1966.||
Bullet (FMX 221W4)|K.McLellan.|Ferry-Morse.|early maturity, heavy bulb weight, dark yellow-bronze scales, good storage qualities, has distinctive round bulbs.|||fusarium basal rot; tolerance to bolting. 1983.|
Bullring (DEXP 777)|Dessert Seed Co.|Dessert Seed Co.|hybrid, high yield, long storage, Spanish type, single center.|Fiesta. 1974.|||
Bullseye (219W9)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|Spanish-type hybrid, highly single-centered with thick rings; globe-shaped with straw-colored skin.|Cima.|New York, Wisconsin, and Michigan. 1985.|pink root.|F1 hybrid, FM inbreds.
Bumper-C (5546-1010)|Dessert Seed Co.|Dessert Seed Co.|F1 hybrid, uniform early yellow globe; good keeper.|Elite.|northern onion-growing areas. 1978.|unknown.|
Bunker (XP 77011)|Seminis-Asgrow.|Seminis-Asgrow.|late storage onion, approximately 120 days.|Crusader.|New York, Michigan, Wisconsin. 2000.||F1 hybrid.
Burgos|Vilmorin.|Vilmorin.||Armada, Recas, Rondo. 1989.|||
Burpee Sweet Spanish Hybrid|W. Atlee Burpee Company, Philadelphia.|W. Atlee Burpee Company, Philadelphia.|F1 hybrid, similar to Yellow Sweet Spanish but earlier and stores much longer; large globular onions with great uniformity.||long-day areas. Burpee Catalog, 1953.||
Burpee Yellow Globe Hybrid|W. Atlee Burpee, Philadelphia.|W. Atlee Burpee, Philadelphia.|F1 hybrid, early, long keeping quality and excellent uniformity.|Brigham Yellow Globe.|wide, upland and muck. Burpee Catalog, 1949.||
Caballero (PS 10295)|Seminis-Petoseed.|Seminis-Petoseed.||Cimmaron.|California, New Mexico, Colorado, Chile, Argentina, Spain, Turkey. 1998.|Pink root.|F1 hybrid.
Cache (XPH 3373)|S.Hendricks.|Asgrow.|long day yellow Spanish, high yielding, high jumbo percentage of single centered bulbs, fresh market and processor use.|Maya. 1989.||pink root, fusarium.|
Caesar (FMX320W6)|E.Snyder.|Ferry-Morse.|refined jumbo size globe-shaped bulbs with strong brown skins, full-season maturity, Spanish type, stores well.|||tolerance to pink root. 1991.|
California Hybrid Red Number 1|California Agric. Expt. Sta., Davis, and USDA.||F1 hybrid, large plant size, nonglossy, foliage, bulb large, purplish-red, globe, mild, soft.||southeastern United States. USDA release 12 Dec. 1943.||Italian Red 13-53 x Lord House Island.
Characteristics: highly nonbolting deep, deep red, mild flavor, heavy yielding; seed stems highly resistant to downy mildew.|Adaptation: central California. United States Department Agric. Release Notice 3 March 1947.|Similar:|Breeder: USDA, Beltsville, Maryland, and the California Agric. Expt. Sta., Davis.|Resistance:|California Early Red.|Parentage: Italian Red 13-53 and Lord Howe Island.|Name: Calred
Canada Maple|Stokes.|Stokes.|long storing yellow onion for Ontario or Quebec. 1988.||||
Candy (PSX 3688)|A.Burkett.|Petoseed.|hybrid yellow midday, short sturdy tops, can be direct seeded or transplanted, jumbo bulbs, single centers, limited storage. 1993.||||
Cannonball (XP 15234)|Omar Diaz.|Seminis-Asgrow.|full season maturity, excellent quality and yield, tall globe shape with good holding ability; 2-3 days later than Santa Fe.|Vanquero.|northwest U.S., South Central California, Colorado. 2001.||F1 hybrid.
Canterbury (XP 796724)|David Dean.|Seminis-Asgrow.|yellow globe shaped onion with tightly adhering medium brown scales; can be stored for 4-6 months.|Creamgold.|New Zealand, Australia, South Africa. 2000.|Fusarium basal rot.|open pollinated.
Capable (DEXP 2012)|Dessert Seed Co.|Dessert Seed Co.|F1 hybrid, early yellow globe with long storage.|Elite.|northern United States. 1978.|unknown.|
Capri (AX 1497)|K.McLellan.|Aristogenes.|high percentage single centers.|Vega. 1992.||pink root.|
Cardinal|Shamrock.|Shamrock.|overwintering, deep red to purple, flattened globe.|Kureni Red. 1989.||fusarium, bolting.|
Caribou (SSC 0020)|Shamrock.|Shamrock.|overwintering, early maturing, deep yellow globe, large and uniform bulbs.|Buffalo. 1993.||bolting.|
Carmen (Red Fiesta 1013)|Dessert Seed Co.|Dessert Seed Co.|F1 hybrid, Red Sweet Spanish, dark-red globe, large and mild.|Southport Red Globe.|long-day onion growing areas. 1978.|unknown.|
Celebrity (W 133)|Crookham Co.|Crookham Co.|Yellow Sweet Spanish hybrid for the Idaho and eastern Oregon area and other areas where full Spanish types are grown; bulbs medium to high globe shape; scales yellowish-brown and adhere well through storage; very disease resistant.|Utah Sweet Spanish.|areas where Yellow Sweet Spanish is grown. 1984.|tolerance to Idaho and eastern Oregon strains of pink root.|F1 hybrid, (P54-306prr x P-USSprrII) x Cr110C.
Celtic (XPH 3801)|S.Hendricks.|Asgrow.|full season maturity, excellent storability, good skin color, very uniform, strong root system.|Garrison. 1994.||pink root, fusarium.|
Centaur (XP6 712)|Seminis-Asgrow.|Seminis-Asgrow.||Granex 33.|Southwest U.S.|Pink root.|F1 hybrid.
Centrex (EXP 3312)||Shamrock.|slightly deeper Granex shape, more uniform, fewer doubles than Granex 33.|Granex 33. 1989.||bolting, pink root.|
Centurion|Bejo.|Bejo.|round, yellow Stuttgarter type, hybrid storage onion. 1989.||||
Century (XP 07592000)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|yellow Granex short day type; similar to Pegasus but earlier; high percentage of colossal and jumbo sizes; good storage ability; excellent flavor and low pungency.|Melody, Sweet Vidalia, Savannah Sweet.|Southeast U.S.; Vidalia, Georgia. 2002.|pink root, Fusarium basal rot.|F1 hybrid.
Challenge (RCSX 1291)|R.Kreizenbeck.|Rio Colorado.|hybrid, main season, yellow sweet Spanish type. 1988.||||
Challenger (Hy 119)|Crookham Co.|Crookham Co.|hybrid, light scaled, good keeping, mild Spanish type, good for onion rings.|Yellow Sweet Spanish.|Spanish areas. 1968.||
Champion|USDA New York Agric. Expt. Sta., Ithaca; Iowa Agric. Expt. Sta., Ames; and Idaho Agric. Expt. Sta., Moscow.||F1 hybrid, large plant size; nonglossy foliage. Bulb medium size, high globe, pungent, dark yellow scales; late maturity, medium storage.|Early Yellow Globe.|where Early Yellow Globe is grown. Elmo Davis, April 1962.||B2146A x B2215C Early Yellow Globe inbred.
Charismatic (PS 725299)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|yellow Spanish type with dark bronze skin and high single centers; full season; good scale cover; bolting tolerant; for machine harvest.|Torero, Vision.|NAFTA. 2005.||F1 hybrid.
Chateau (XPH 15039)|Seminis-Asgrow.|Seminis-Asgrow.||Norstar.|NE U.S. and Eastern Canada.||F1 hybrid.
Cherokee (62-5)|Ferry-Morse Seed Company, Mountain View, California.||F1 hybrid, bulbs large, globular, tight skin with dark brown outer shell; somewhat tolerant to pink root.|Apache.|long photoperiod areas. Ferry-Morse Seed Company, 2 July 1963.||B2264A prr x F-M inbred.
Cheyenne|Dakota.|Dakota.|late maturing, high yielding, yellow sweet Spanish.|Vega. 1991.||pink root.|
Chico|Dakota.|Dakota.|high globe, top shaped, yellow.|1015Y. 1993.||pink root.|
Chieftain|USDA, Utah, and Idaho State Expt. Stn.||||||U16-3-1A x B 12115-2C. 1963.
Chippewa|Dakota.|Dakota.|yellow intermediate, high yielding.|Yula. 1993.||pink root.|
Chula Vista (PSX 6589)|Petoseed.|Petoseed.|short day hybrid, light yellow scales, sweet, main season.|||excellent to pink root. 1994.|
Cima (10)|Keystone Seed Co.|Keystone Seed Co.|hybrid, Spanish type with few bolters and flattened bulbs.|Fiesta.|Spanish areas. 1970.||
Cimmaron (ARCO 7063-4)|ARCO Seed Co.|ARCO Seed Co.|F1 hybrid, vigorous, high-yielding, uniform, attractive yellow onion with high frequency of single-centered bulbs; intermediate daylength response; limited storage potential.|New Mexico Grano.|Northern Texas, New Mexico, and the San Joaquin Valley of California. 1986.|good tolerance of pink root.|
Cirrus (XP 6798)|David Dean.|Seminis-Asgrow.|early white hybrid; bolt resistant, superior white color.|Diamante.|south Texas. 2000.|pink root.|F1 hybrid.
Citadel (XPH 3370)|S.Hendricks.|Asgrow.|long day yellow storage, early maturing, tall globe bulb with glossy brown scales, trim neck, good storability.|Taurus. 1989.||pink root, fusarium.|
Class Pak (231W9)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|late-season, long-storage class; bulbs light-medium bronze color, skins tight.|Surecrop.|New York, Michigan, Wisconsin, and Ohio and Ontario, Canada. 1985.|pink root.|F1 hybrid, FM inbreds.
Cody|Dakota.|Dakota.|yellow intermediate.|Yula. 1992.|||
Cody (SSC 3359)|Shamrock Seed Co., Inc.|Shamrock Seed Co., Inc.|a mid-early, yellow Sweet Spanish hybrid that is widely adapted; produces very firm, full globe shaped bulbs; high percentage of jumbos and colossals; good retention of its medium brown skins; adapted to overhead irrigation and mechanical harvest; excellent bolting tolerance and good PRT and FT; suited for domestic and processing (chopped, diced) markets; storage capacity of 80 days (Intermediate day type).|Viceroy, Viper.|intermediate day growing regions. 1998.|Pink root rot.|F1 hybrid.
Colossol PRR|ARCO Seed Co.|ARCO Seed Co.|open pollinated, large, yellow Grano type.|Early White Supreme.|southwestern United States and Mexico. PVP certificate number 7900076. 1980.|pink root and bolting.|
Columbia (FMX 220W4)|K.McLellan.|Ferry-Morse.|first early hybrid performing well under wide range of conditions, adapted for bulk handling and bulk storage, medium dark bronze skins.|Rocket.|wide. 1983.||
Comanche|Rispens.|Rispens.|adapted to northeastern U.S., yellow storage onion.|Paragon. 1991.||pink root.|
Cometa (SXO 1423)|Rick Watson.|Sunseeds.|White Spanish hybrid, high globe bulb shape, high yielding, strong, heat tolerant foliage; excellent outer scales.|Blanco Duro.|Spanish (Long Day) onion market. 2000.|pink root and Fusarium.|F1 hybrid.
Contender|USDA, Iowa Agric. Expt. Sta., Ames, and Idaho Agric. Expt. Sta., Moscow.||F1 hybrid, large plant size; nonglossy foliage; bulbs medium sized, light yellow scales, high globe, pungent; late maturity, medium storage.|Early Yellow Globe.|where Early Yellow Globe is grown. Elmo Davis, 16 April 1962.||B2133A x B2215C Early Yellow Globe inbred x Brigham Yellow Globe inbred.
Contessa (XP 3200)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, early, uniform, short-day type with large, white, deep-globed bulbs; small root plate.|Early White Supreme.|southwestern United States and Mexico. PVP certificate number 8500193. 1986.|tolerance to pink root and bolting.|
Copper Cache|K.McLellan, P.Olesen and Associates; Parma, Idaho.|Ferry-Morse.|early-midseason Hickory type, heavy yielding ability, excellent storability.||Ontario, northeastern U.S. 1969.|tipburn.|closed.
Copper Coast [E9279 (4C-117)]|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|open pollinated, shiny bronze-copper scales, bulbs uniform.|Fiesta.|to central and coastal California. 1981.|tolerance to pink root.|
Copper Gem (NK Expt. 2232)|Northrup King and Company, Minneapolis.||hybrid, bulb round; brownish colored skin, fine neck, early.|New Early Hybrid. Northrup King Desc. List. 1961.|||NK inbred and B2264 USDA line.
Copper King|Stokes.|Stokes.|earlier than New York Early, storage onion.|||field tolerance to pink root. 1991.|
Copper Lustre (4C-50)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|open pollinated, uniform hard-fleshed storage type, bulbs medium size globe with light-yellow to copper scales.||central coast of California. 1977.||
Copper Mine (E1205)|K.McLellan.|Ferry-Morse.|early midseason hybrid, excellent storage quality, good yielding ability, extremely attractive appearance, medium dark bronze skins.|Spartan Banner. 1983.|||
Copperskin|Joseph Harris Company, Rochester, New York.|Joseph Harris Company, Rochester, New York.|F1 hybrid, midseason, long keeping, very hard onion; good skin and color; medium yield; uniform size and type.|Downing Yellow Globe.|northern United States muck areas. Harris Catalog, 1961.||
Copra|Bejo.|Bejo.|main season, long day, yellow storage type, very thick skinned, thin necks. 1989.||||
Corner Stone|Rispens.|Rispens.|early, very hard.|Hustler, Northstar. 1993.|||
Cougar (PS8489)|A.Burkett.|Petoseed.|short day, 5 days later than Mercedes, good storage, globe shape.|Mercedes. 1994.||pink root.|
Coyote|Dakota.|Dakota.|yellow intermediate.|Cimarron. 1993.||pink root.|
Cree|Dakota.|Dakota.|red sweet Spanish, storage type, high yielding.|Red Man. 1991.||pink root.|
Creoso|ARCO/Dessert.|ARCO/Dessert.||||pink root. 1968.|
Criterion (Sunex1476)|R.Watson.|Sunseeds.|non glossy foliage, dark brown scales that adhere well, hard flesh, pungent, long storage.|Duration. 1995.||tolerance to pink root, fusarium basal rot.|
Crusader (XPH 3374)|S.Hendricks.|Asgrow.|tall, globe shaped, yellow skinned, main season storage onion with excellent size and scale retention.|Spartan Banner 80. 1989.|||
Crystal Grano|USDA.||white bulb (recessive trait) selected from field of Early Grano.||||
Crystal Hybrid (L690A x CC163)|USDA and Texas Agric. Expt. Sta., College Station.||F1 hybrid, small to medium plant size, semi-glossy foliage; bulbs medium sized, early, white, flat, mild and soft.|Granex.|southern United States. Elmo Davis, 17 April 1962.||
Crystal Wax (L. 690)|USDA, Texas State Expt. Stn.||S1 family. 1949.||||
Crystal Wax Pickling PRR|ARCO Seed Co.|ARCO Seed Co.|open pollinated, very flat.|Crystal Wax.|long-day pickling onion growing areas. 1983.|pink root.|
Crystal Wax PRR|ARCO Seed Co.|ARCO Seed Co.|open pollinated.|L303.|short-day areas.|pink root.|
Cuprum (80-395-3)|Dessert Seed Co.|Dessert Seed Co.|F1 hybrid, hard-fleshed with excellent storage qualities uniform globe with dark-brown scales that adhere well in storage.|Downing Yellow Globe.|northern onion-growing areas. 1982.||
Cuzco|Dakota.|Dakota.|late maturing, high yielding, yellow sweet Spanish type.|Vega. 1992.||pink root.|
Cyclone (PS 292)|Seminis-Petoseed.|Seminis-Petoseed.||Twister.|southwest U.S.|Pink root.|F1 hybrid.
Cyclops (XP 6995)|David Dean.|Seminis-Asgrow.|early hybrid, Granex bulb shape.|G-33.|Georgia. 2000.|pink root.|F1 hybrid.
D5551|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, hard storage onion, good color.|Downing Yellow Globe.|northern United States. 1976.||
Dai Maru (Hy 128)|Crookham Co.|Crookham Co.|hybrid, high yielding, large bulb, medium late Spanish type.|Yellow Sweet Spanish.|Spanish areas. 1968.||
Dakota|Dakota.|Dakota.|early maturing, northern, storage type.|Paragon. 1991.||pink root, fusarium.|
Dakota B-II|Dakota.|Dakota.|late maturing, high yielding, yellow sweet Spanish type.|Vega. 1992.||pink root.|
Darius (FMX44W4)|E.Snyder.|Ferry-Morse.|high globe shape with dark brown firm skins, refined necks, hard bulb, long storability, 105 day maturity, very good uniformity of bulb size and shape, yielding large and jumbo bulbs. 1992.||||
Davenport (XP 796999)|David Dean.|Seminis-Asgrow.|yellow globed shape, mid-day onion, dark golden scales, adapted for export, can be stored 4-6 months.|Kiwi Gold.|New Zealand, Australia, South Africa. 2000.|fusarium basal rot.|F1 hybrid.
Daytona|Bejo.|Bejo.|hybrid yellow storage type, large bulbs.|||tolerance to pink root, fusarium. 1989.|
DeLance (SSC 0377)|Shamrock.|Shamrock.||Brown Beauty.|intermediate day onions.|Pink root and Fusarium.|F1 hybrid.
Dessex Yellow PRR|ARCO Seed Co.|ARCO Seed Co.|F1 hybrid, early Yellow Bermuda-type onion.||short-day areas. 1963.|pink root.|
Diaga (KFX 999)|K-F Seeds.|K-F Seeds.|F1 hybrid, early, White Granex type.|Robust.|short-day growing areas. 1984.|pink root.|
Diamante (Sunex1517)|Sunseeds.|Sunseeds.|uniform large Grano type white hybrid, earlier and more bolt tolerant than Early Supreme.|Early Supreme. 1995.||pink root.|
Diamond (PSX 91988)|R.Engle.|Petoseed.|longer storage than any long day white on market.|White Keeper. 1993.|||
Dillon|Dakota.|Dakota.|overwintering yellow type.|Dynasty. 1993.||pink root, bolting.|
Discovery (RCSX 1327)|R.Kreizenbeck.|Rio Colorado.|early season, hybrid, yellow Sweet Spanish type. 1988.||||
