Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Ancho Villa (RPP 2142)|Novartis Seed, Inc.||ancho with increased plant vigor, yield, larger fruit.|Ancho San Luis.|Mexico and all ancho growing areas. 1999.|virus.|F1 hybrid.
Andor (E4929)||Enza Zaden B.V.|Lamuyo type bell pepper, green ripening to red, thick wall, fruit 130 x 90 mm, vigorous plant habit, early.|Atol. 1995.||tobacco mosaic virus race 0, 1, 2.|F1 hybrid.
Antohi Romanian||Johnny's.|Open-pollinated, pale yellow ripening to red fruit, 102 x 51 mm fruit size, upright plants, non-pungent. 1991.||||Romanian heirloom.
Apple|Johnny's Selected Seeds.|Johnny's Selected Seeds.|heart shaped pimiento type, thick wall, has apple flavor, mild, juicy, 90 mm long, round fruit 77 days to red ripe, medium sized plants. PVP applied. 1997.||||open pollinated.
Aquiles (PS 11410851)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|jalapeno type; strong plant; continuous fruit setting ability; very large fruit are uniform in size; fruit are dark green, smooth and have a thick wall; fruit are 109 x 39 mm size and have hot pungency.|Conchos, El Rey.|NAFTA - Mexico, fresh market. 2005.||F1 hybrid.
Ariane||Enza Zaden B.V.|blocky, green ripening to orange bell pepper, short, fast growing plant, early.|||tobacco mosaic virus race 0. 1995.|F1 hybrid.
Aristotle (PS 7273823)|John Bill.|Seminis-Petoseed.|green blocky bell, large to extra large, thick walls.|Paladin.|eastern U.S. 2000.|bacterial spot 1, 2, 3, PVY Tobamovirus.|F1 hybrid.
Aruba (NVH3078)|Rogers.|Rogers.|Hybrid Cubanelle, 64 days to maturity. Vigorous erect plant, best suited to planting slots where adequate fruit size is a problem, large fruited.|Key Largo. 1993.|||
Asimi||Enza Zaden B.V.|Lamuyo type bell pepper, green ripening to yellow, 130 x 90 mm fruit size, continuous plant growth, early.|||tobacco mosaic virus race 0. 1995.|F1 hybrid.
Atlas (XP 2006)|Asgrow Seed Co.|Asgrow Seed Co.|Bell pepper, large fruit, less tendency to point, and more foliage protection for fruit.|Early Cal Wonder.|same as Early California Wonder. 1973.|Tolerant to bacterial leaf spot.|
Atol||Enza Zaden B.V.|Lamuyo type bell pepper, dark green ripening to red, fruit 130 x 90 mm, strong plant habit, very early, 4-lobed fruit.||greenhouse and outside production in southern Europe and subtropical areas. 1995.|tobacco mosaic virus race 0.|F1 hybrid.
Augusta (E2205/66)||Enza Zaden B.V.|blocky, green ripening to red bell pepper, compact plant habit, good for greenhouse cropping, early.|||tobacco mosaic virus race 0, 1, 2, stip, blossom end rot. 1995.|F1 hybrid.
Autlan (SSC 1459)|Shamrock Seed Co.|Shamrock Seed Co.|very hot, early maturing Jalapeno type with concentrated set; medium-tall plants with broad, dark green leaves that provide good cover; short internodes to ensure excellent fruit set; produces and maintains large (3 to 3.75 in. x 1 to 1.25 in.) fruit through several harvests; dark green fruit with thick walls and a large center with 3 to 4 locules; no anthocyanin and low incidence of checking at maturity; relative maturity 75 to 85 days from transplant.|Jalapeno M.|all pepper growing regions. 2004.||
Avalon Button (Miniature Sweet, New Avalon)|R.D. Pearce, Moretown, N.J.|R.D. Pearce, Moretown, N.J.|Open-pollinated, Pimiento cultivar, smooth, button shaped, thin skinned, juicy, sweet, very uniform, 25 x 51 mm fruit size.|Pimiento. 1945.|||Mutant from California Wonder cultivar.
Bajio||Shepherd's Garden Seed Co.|pasilla type chile, 150 x 25 mm sized fruit, glossy deep forest-green ripening to deep brown, called chilaca in green stage, 900 mm tall plants, 80 days, moderate pungent.|||tobacco mosaic virus. 1997.|open pollinated.
Balada (PS 24195)|John Bill.|Seminis Vegetable Seeds-Petoseed.|Asian type pepper, fruit maturing from green to red, fruit slightly curved, tapers to point, 60 x 127 mm, highly pungent.|Spiral.|Indonesia, Thailand, Vietnam.||
Ball Park (PS 3794)|John Bill.|Seminis Vegetable Seeds-Petoseed.|Jalapeno type, 310 x 90 mm, mild to slightly pungent, large plant.||U.S. and Mexico.||
Banana Supreme (PSX56685)|Petoseed.|Petoseed.|Long, yellow sweet pepper, very high yielder, vigorous medium size plant, spreading upright habit. 1989.||||
Bananarama||Burpee.|Banana type, 70 days to harvest, fruit are 20 cm long, yellow maturing to orange-red, small plant. 1999.||||
Bandido (HMX 1675)|Harris Moran.|Harris Moran.|hot pepper; Serrano hot pepper type; very dark green fruit; medium size plant.||California, Mexico. 2003.||F1 hybrid.
Beauty Bell||Known-You Seed Co.|blocky, bright green ripening to red bell pepper, medium large fruit, small plant with good foliage cover, 90 x 80 mm fruit size, thick wall, 3 to 4-lobed.|||tobacco mosaic virus race tolerant. 1987.|F1 hybrid.
Belaire (SRX 401)|Niagara Chemical Div., FMC Corp.|Niagara Chemical Div., FMC Corp.|Blocky, smooth, predominately 4 lobed, thick wall fruit, market or processing.|Yolo Wonder B.|general.|Tobacco Mosaic Virus.|
Belconi|Vilmorin.|Vilmorin.|Marconi type cultivar potentially strong upright form, very open and early, pointed fruit, smooth skinned, and quite thick, intensive green fruit, becomes shiny red at maturity, excellent appearance.|Marconi. 1987.|||
Bell Boy (P-15)|Petoseed Co.|Petoseed Co.|F1 hybrid, early, large bell type, mostly four lobed, thick walls, continuous setting, uniform habit, fruit size, and shape, Bronze medal winner 1967 AAS.||general. 1967.|Tobacco Mosaic Virus.|Peto inbreds.
Bell Captain||HPS.|bell pepper type maturing in 72 days, handles stress very well, well-shaped, four lobed, 110 x 102 mm fruit, large plants, vigorous.|||tobacco mosaic virus race. 2000.|
Bell King||Harris Seeds.|bell pepper that matures in 74 days, large, thick-walled fruit, on tall plants.|||tobacco mosaic virus race. 2000.|
Belle Star (FMX 730)|S.Tambo.|Ferry-Morse.|Vigorous, medium upright plants, very concentrated set of thick walled, blocky, dark glossy green fruit.|California Wonder, Yolo Wonder. 1983.||Tobacco Mosaic Virus.|
Bellringer|W. Atlee Burpee Co.|W. Atlee Burpee Co.|Open-pollinated, extra thick-walled, predominately four-lobed pepper, green turning to deep red.|California Wonder.|wide. 1967.||colchicined selection of California Wonder.
Belmont (XPH 5488)|Asgrow.|Asgrow.|Heavy, thick walls, long blocky fruit, green to red, tall bush with extensive foliage cover, long picking period potential.||||
Bendigo||Enza Zaden B.V.|very early bell pepper, fruit are quite small, blocky, green ripening to red, very uniform, and thick-walled; sets very well, thinning may be required; well-known standard cultivar for many growers around the world.||suitable for production in unheated greenhouses in the late Spring/Summer. 1995.|tobacco mosaic virus race 0.|F1 hybrid.
Bennington|Mike Sheets.|Seminis-Petoseed.|very dark green, smoother and thicker wall than standards, very blocky - no tendency to become flat; productive tall and sturdy plant.|Enterprise, X3R Camelot, Brigade.|southeast and northeast U.S., Mexico. 2000.|BST.|F1 hybrid.
Berbere||Floating Mountain Seeds.|a landrace type introduced from Ethiopia, fruit are 152 to 202 mm in size that turn a bright red when ripe, matures in 80 days. 1991.||||
Bianca||Enza Zaden B.V.|blocky, white (ivory) ripening to light red bell pepper, steady compact growing plant, very early, 3-4 lobed fruit.|||tobacco mosaic virus race 0. 1995.|F1 hybrid.
Big Belle (11C-X111)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, early, large-fruited, productive green bell.||California and the midwestern United States.||
Big Bertha|Petoseed Co.|Petoseed Co.|Blocky, four-lobed, deep-green to red fruit with very thick walls; continuous setting fruit with pendant attachment; excellent foliage cover.|large European cultivars.|wide. 1978.|Tobacco Mosaic Virus.|
Big Chile||Gurney's and Johnny's Select Seeds.|New Mexican type, mild flavor, 177 x 50 mm fruit, 55-68 days to green mature, 80 days to red ripe, vigorous plants, high yields in northern U.S. Seed catalog. 1999.||||F1 hybrid.
Big Dipper||W. Atlee Burpee.|green to scarlet bell pepper, 110 x 110 mm fruit size, 4-lobed, thick walls, plants upright, compact, 500 to 600 mm high, 75 days.|||tobacco mosaic virus. 1997.|
Big John||Harris Seeds.|large, sweet tasting, fruit ripening from green to red, uniform fruit size and shape, 76 days to harvest. 1999.||||F1 hybrid.
Big Red Hybrid||W. Atlee Burpee.|cayenne type, 250-300 mm fruit x 60 mm at shoulders, 70 days, fruit matures from green to red. 1997.||||F1 hybrid.
Big Star||Known-You Seed Co.|large fruited bell pepper, pendant fruit, green ripening to red, tall, slight sprawling plants, large leaves, 150 x 75 mm fruit size. 1987.||||F1 hybrid.
Big Thai|Burpee.|Burpee.|F1 hybrid, Asian hot type, 102-127 mm fruit on 762 mm plants, fruit matures from green to dark red. Burpee Seed Catalog. 1995.||||
Big Top (PS 21995)|John Bill.|Seminis Vegetable Seeds-Petoseed.|Asian type, fruit green to red, medium pungency, long tapered fruit, 13 mm x 150 mm in length, large vigorous plant.||Far East.||
Bighart|W.H. Greenleaf, M.H. Hollingworth, H. Harris, K.S. Rymal.||Open-pollinated, pimiento type, high yielding, concentrated fruit set and fruit maturity, thicker walls, and higher pack-out when processed.|Truhart Perfection Pimiento.|Southern and southeast U.S. HortScience 4:334-338. 1969.|Tobacco Mosaic Virus.|Truhart Perfection Pimiento, Santanka, Exp. No. 1950-2015C, South Carolina Cayenne, Keystone Resistant Giant, Yolo Wonder A.
Biker Billy Hybrid||W. Atlee Burpee.|jalapeno, 66 days to harvest, very hot, fruit are 50 mm at the shoulder and 90 mm long. 1999.||||F1 hybrid.
Biscayne||Park Seed and Johnny's Selected Seeds.|cubanelle-type, prolific, smooth, large fruit up to 150 x 60 mm, light green, blunt ended and tapered, 63 days to maturity, plants well branched standing 650 mm, providing an excellent canopy to protect from sunscald. 1997.||||F1 hybrid.
Blackbird||Stokes Seed Co.|bell pepper, 90 x 95 mm fruit size, ripens green to brown to black to dark red, 73 days. 1997.||||F1 hybrid.
Blockbuster||Stokes Seed Co.|bell pepper, jumbo green ripening to deep red, thick-walled, 3 to 4-lobed, sweet, 160 x 100 mm fruit size, 70 days.|Big Bertha.|Northeastern U.S. 1997.||F1 hybrid.
Blue Jay||Stokes Seed Co.|very productive, blocky bell pepper, 110 x 100 mm fruit size, ripens green to lilac/grape to pale orange to dark red, 73 days. 1997.||||F1 hybrid.
Blue Star||Known-You Seed Co.|large fruited bell pepper, pendant fruit, 3 to 4-lobed, dark green ripening to red, medium thick walls, tall, upright plants, vigorous, large leaves, sets well in cool and warm weather. 1987.||||F1 hybrid.
Blushing Beauty||Seminis Vegetable Seeds-Petoseed.|bell pepper, fruit 'blushes' from light yellow or ivory to red at maturity, thick walled and sweet at any stage in their development, harvesting begins 72 days after transplanting, 450 mm tall with bushy plant habit, 400 mm wide plant, good for patio containers. All-American Selection.|||bacterial leaf spot races 1, 2 and 3, and tobacco mosaic virus. All-American Selections announcement, Nov. 1998.|F1 hybrid.
Boldog Paprika||Shepherd's Garden Seeds.|elongated red fruit, plants are upright and very productive, European background. 1998.||||
Bolivian Rainbow||Southern Sun Seeds.|matures in 70 days, small 20 mm long pointed fruit, starting purple then turning orange to red, plants are very showy with purple flowers and multi-colored fruit, fruit are very hot with sweet spicy flavor. 1999.||||
Bon Star||Known-You Seed Co.|small to medium sized sweet pepper, erect plants, small leaves, early, 80 x 25 mm fruit size, thin flesh. 1987.||||F1 hybrid.
Bonanza (JSX9320)||Johnny's Selected Seeds.|blocky, heavy, smooth pods, dark green ripening to red bell pepper, 4-lobed, strong plants, 62 days.|||tobacco mosaic virus race 0, 1, 2. 1997.|F1 hybrid.
Bonita (FMX 1169)|Ferry-Morse.|Ferry-Morse.|Excellent vigor and high yield, excellent staked production.|Galaxy, Jupiter, Verdel.||Tobacco Mosaic Virus.|
Bossanova||Rijk Zwaan.|early production of very large fruit for heated greenhouse production.||good for heated greenhouse production. 1999.|blossom end rot, russeting, bitter pit, tobacco mosaic virus race 0, 1 and 2.|
Bounty (PS 9091)|J. Bill.|Seminis-Petoseed.|yellow to red fruit, sweet banana type, light yellow to bright red, medium large plant, high yields, maturity 65 days from transplant.||southeast, northeast and midwestern U.S. 2000.||F1 hybrid.
Boynton Bell||Harris Seeds.|glossy dark green to red bell pepper, matures in 75 days green, large, blocky fruit, thick-walled.|||bacterial leaf spot races 1, 2 and 3. 1999.|F1 hybrid.
Brigadier|Novartis.|Novartis.|green to red bell pepper that produces large and extra large fruit that keep their shape despite cool weather.||Florida, Southeast, and Midwest U.S. The Grower Nov. 1997.|bacterial leaf spot races 1, 2 and 3, and potato virus Y.|
Bulgarian Carrot (Shipkas)||Shepherds Garden Seed Co.|Bulgarian land race, 90 mm long fruit, green ripening to fluorescent-orange, fruit sets in clusters, 450 m tall plants, 68 days, very pungent. 1997.||||open pollinated.
Burlington|Campbell Soup Co.|Campbell Soup Co.|Thick-walled, smooth fruit, high red color.||Same as World Beater.|common Tobacco Mosaic Virus.|World Beater.
Burpee's Early Pimento|W. Atlee Burpee Co.|W. Atlee Burpee Co.|Slightly smaller fruit than Sweetmeat Glory, 3 weeks earlier and more productive.|Sweetmeat Glory, Trueheart Perfection.|wide, especially good for northern areas. Burpee Catalog. 1943.||Sunnybrook and Sweetmeat Glory.
Burpee's Fordhook|W. Atlee Burpee Co.|W. Atlee Burpee Co.|Early thick meated blocky type that sets fruit under adverse conditions.|Merrimac Wonder|General northern United States. Burpee Catalog. 1940.||
Caballero (SPP 7502)|Sakata Seed.|Sakata Seed.||Poblano Pepper.|California U.S. 2000.||F1 hybrid.
Cacique (HMX-3676)|Enrique Retes.|Harris Moran.|hot pepper; Jalapeno type; concentrated set; excellent yield.||Mexico. 2000.||F1 hybrid.
Cadete||DeRuiter Seeds Inc.|Lamuyo type, green ripening to red, large size fruit, thick wall, 3 to 4-lobed, excellent shape.||Mediterranean areas. 1993.|potato virus Y, stip.|
Cadice||Shepherd's Garden Seeds.|sweet bell pepper, matures from green to red, 55 days to harvest, excellent quality and extra early hybrid, very large, and thick walled. 1999.||||F1 hybrid.
Caldero (VTR 124)|Orsetti Seed Co.|Orsetti Seed Co.|hot yellow wax type.||U.S. 2003.||F1 hybrid.
California Wonder (Burpee's California Wonder)|||ripens in 68-89 days, large blocky thick-walled bell pepper, 114 x 102 mm fruit size, glossy deep green to red color, 3 or 4 thick lobes, upright prolific ever bearing 760 mm plants. Garden Seed Inventory. 1992.||||
California Wonder 300 (XP 300)|Asgrow Seed Co.|Asgrow Seed Co.|Thick walled, blocky California Wonder type.|California Wonder. Asgrow's 'Your Crops-What's New for '66'. 1965.||Tobacco Mosaic Virus.|
California Wonder 300 TMR||Carolina Seeds.|glossy green, thick walled fruit, which turn green to red at maturity, smooth blocky fruit, mostly 4-lobed, averaging 110 x 100 mm fruit size, 72 days to harvest.|||tobacco mosaic virus race. 1999.|
Calurosa|Orsetti Seed Company, Inc.|Orsetti Seed Company, Inc.|||||F1 hybrid.
Camelot|Petoseed Co.|Johnny's Selected Seeds and Stokes Seed Co.|dark, glossy green to red bell pepper, large fruit, square shape, 4-lobed, 130 x 110 mm fruit size, 74 days, and thick-fleshed, upright plants suitable for close spacing.||New Jersey, New York, Maine. 1997.|tobacco mosaic virus race.|F1 hybrid.
Camino Real (HMX-3673)|Enrique Retes.|Harris Moran.|hot pepper; Serrano type; vigorous plant; large fruit.||Mexico. 2000.||F1 hybrid.
Canada Cheese||Stokes Seed Co.|miniature red cheese type pepper, 50 x 30 mm fruit size, green ripening to red, thick-fleshed, does not crack, slightly flattened, 75 days.|Sunnybrook. 1997.|||
Canape||Thompson and Morgan and Harris Seeds.|bell pepper, improved California Wonder, green ripens to red, sweet, matures in 65 days, more than a dozen fruit per plant, short seasoned, ripens early, tapered fruit, 90 x 76 mm. 1993.||||F1 hybrid.
Canary||Stokes Seed Co.|blocky 4-lobed, bell pepper, thick-walled, 130 mm square fruit, 72 days, green ripens to bright yellow.|||tobacco mosaic virus race. 1997.|F1 hybrid.
Candente (PS 335095)|John Bill.|Seminis Vegetable Seeds-Petoseed.|green to red, blocky bell, vigorous plant, continuous set, excellent uniformity, large size fruit, thick walls.|Guardian.|Mexico.|bacterial leaf spot, potato virus Y, tobacco mosaic virus race.|
Capistrano|Petoseed.|Petoseed.|Sweet bell, blocky, large fruit. PVP 9000220. 1990.||||
Cardinal||Stokes Seed Co.|blocky, 4-lobed, bell pepper, dark green ripening to dark red, thick-walled, open plant habit, some cold tolerance, 110 x 110 mm fruit size, 70 days.|||tobacco mosaic virus race. 1997.|F1 hybrid.
Caribbean Red||Burpee.|Capsicum chinense habanero type, 90 days to harvest, 38 x 25 mm fruit size, red wrinkled fruit, tapered to blunt point, nearly double the heat of other habanero cultivars, vigorous uniform plants, 710 mm plant size. 1999.||||
Carlos|Nunhems Zaden.|Nunhems Zaden.|Lamuyo fruit type, vigorous plant type with firm stem, very early cultivar, red ripe.|||Tobacco Mosaic Virus and Potato Virus Y. 1990.|
Carmen (PS 200395)|John Bill.|Seminis Vegetable Seeds-Petoseed.|green to red bell pepper, early maturity.|Marquis.|Mexico.|bacterial leaf spot, potato virus Y, and tobacco mosaic virus race.|
Carolina Cayenne|R.L. Fery, P.D. Dukes, W.L. Ogle.||Open-pollinated cayenne type, more uniform, for horticultural traits than Carolina Hot, fruit is straighter, shorter, and thicker than Carolina Hot, fruit length is 100 mm, fruit diameter 6.4 mm, pungency (105,000 Scoville heat units).|Carolina Hot. HortScience 21:330. 1986.||Southern root-knot nematode.|Selection from Carolina Hot.
Carolina Hot|South Carolina Agric. Expt. Sta., Clemson.|Carolina Pepper Growers Assn.|Deciduous calyx.|Cayenne.|Southeastern United States. 67th Annual Report South Carolina Agric. Expt. Sta. 1956.|Root-knot nematodes.|4558P2-7 4530, two Cayenne breeding lines.
Carousel|D.Gilbart.|Sakata.|Immature yellow flesh, sweet.|Cubanelle. 1989.|||
Cascabella||Shepherd's Garden Seeds.|heirloom yellow wax cultivar, 65 days to harvest, very pungent, 40 mm fruit, exceptional fruit set on a 610 mm tall plant, fruit changes from yellow to orange to red. 1999.||||open pollinated.
Cascade||DeRuiter Seeds Inc.|blocky, green ripening to red bell pepper, medium fruit size, stretched and open plant habit.|||blossom end rot. 1993.|
Cayenne, Large Red Thick (Large Thick Cayenne, Large Long Red Cayenne) -||Similar:|cayenne type, maturing in 70 days, very thick fleshed, 152 x 38 mm fruit size, large shoulders, wrinkled tapered and curved, concentrated fruit set, pendant, strong upright plants, dark green to scarlet ripened fruit. Garden Seed Inventory. 1992.|Resistance:||Parentage:|Parentage
Cayenne, Long Slim (Long Red Slim Cayenne, Slim Cayenne, Long Narrow Cayenne, Long Red Narrow) -||Similar:|long slender wrinkled, very hot cayenne type, 127-152 x 19 mm fruit size, thin-walled, 2-celled, dark green to bright red ripening in 75 days, large plants, pendant. Garden Seed Inventory. 1992.|Resistance:||Parentage:|Parentage
Chalice (PS 214596)|John Bill.|Seminis Vegetable Seeds-Petoseed.|blocky green to yellow bell pepper, early to turn yellow, very productive, long fruit, maintains firmness at yellow stage.|X3R Aladdin.|Southeastern U.S.|bacterial spot races 1, 2 and 3.|
Chapala (PS 11404682)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Jalapeno fresh market type; large fruit size; dark green color; high yield; not sensitive to cold nights.|El Rey.|NAFTA - Mexico. 2004.||F1 hybrid.
Charter Oak|Connecticut Agric. Expt. Sta., New Haven., Conn.||early thick-fleshed, dark green.|California Wonder. Connecticut Agric. Expt. Sta. Annual Reports. 1943.|||
Cherry Bomb (PS208488)|Ken Owens.|Vendor Petoseed Co.|cherry pepper, pendant fruit, 38 x 38 mm fruit size, very early and high yielding, maturing in 65 days, compact plants, high yield, fruit mature green to red, about 20% less heat than jalapenos.|||TMV-Po.|F1 hybrid.
Cherry Sweet||Stokes Seed Co.|cherry pepper type, 40 x 30 mm fruit size, green ripening to red in 78 days. 1997.||||
Cherrytime||Johnny's Selected Seeds.|cherry type, 53 days, sweet, extra-heavy fruit set, 25 x 25 mm fruit size, very smooth and glossy, strong, compact plant, green ripening to red sweet flavor fruit. 1997.||||open pollinated.
Chianti (HMX 1663)|Harris Moran.|Harris Moran.|sweet pepper; large, rectangular, half-long fruit, deep red color.||U.S. 2003.|BLS 1, 2, 3; PVY, PeMV and TMCV (PO).|F1 hybrid.
Chichimeca (PS 11404634)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Jalapeno type; large fruit size, 103 x 40 mm; 36 g fruit weight; concentrated fruit set; pungent; early maturity.|Conchos.|NAFTA - Mexico. 2004.||F1 hybrid.
Chilipeno||Shepherd's Garden Seeds.|super sized jalapeno, 152 x 32 mm, thick-walled, very productive, good heat and drought tolerance, ripens from dark shiny green to bright red, plant height 700 mm. 2000.||||F1 hybrid.
Chiltepin||W. Atlee Burpee.|tiny, 13 mm fruit, maturing from green to red in 150 days, very hot. 1997.||||
Chimayo||Plants of the Southwest.|heirloom New Mexican type, green maturing to red, very hot.||short season areas. 2000.||open pollinated.
Chinese Giant|Burpee Seed Co.|Burpee Seed Co.|heirloom green to red bell pepper that produces fruit 100 x 100 mm in size, plant height of 60 cm. 1900.||||open pollinated.
Chispa (HMX 3677)|Enrique Retes.|Harris Moran Seed Co.|tall vigorous plant less purpling of fruit, wide adaptability, excellent yield.|Grande|New Mexico, Texas, Southern U.S. and Mexico. 2001.|PVY.|F1 hybrid.
Choco||Enza Zaden B.V.|blocky, green maturing to brown bell pepper, strong, open plant habit, early, 4-lobed, medium sized.|Mavras. 1995.||tobacco mosaic virus races 0, 1 and 2.|F1 hybrid.
Chocolate Beauty (PSX88888)|Petoseed.|Petoseed.|Sweet pepper with large, smooth bell type. Fruit turn from a medium-dark green to chocolate brown at full maturity.|||Tobacco Mosaic Virus. 1993.|
Chocolate Belle Hybrid||W. Atlee Burpee.|bell pepper, fruit turn from green to chocolate brown at full maturity, blocky, 3- to 4-lobed.|||tobacco mosaic virus race. 1997.|F1 hybrid.
Chotis||Rijk Zwaan.|good shelf life, firm fruit, nice color, thick-walled, open plant habit.|||tobacco mosaic virus races O, 1 and 2. 1999.|F1 hybrid.
Cochiti||Plants of the Southwest.|heirloom New Mexican type, maturing green to red, medium pod length, medium heat. 2000.||||open pollinated.
Commandant (NVH 3085)|Rogers.|Rogers.|Deep blocky medium dark green fruit turning red at maturity.|Boyton Belle, Camelot x 3R.||Bacterial leaf spot races I, II, III; Tobacco Mosaic Virus, Potato Virus Y, Pepper Mottle Virus.|
Conchos (VYR-59)|VTR.|Orsetti Seed Company, Inc.|||||F1 hybrid. 2000.
Conquest (HMX 9640)|Harris Moran Seed Co.|Harris Moran Seed Co.|Compact plant usually 11-15' high with very blocky shaped fruit with medium green color.||North Carolina, Georgia, San Joaquin Valley California.|TMV, PVY, PeMV, PMMV; tolerant to CMV, Phytophthora capsici.|F1 hybrid.
Corcel (PS 11410078)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Ancho type; fruit 17.5 cm x 9 cm, high percentage of two locule fruit, dark green color turning chocolate in the ripe stage; strong plant, specific use is fresh market; not for drying at the red stage.|Caballero, Ancho San Juan, Tiburon.|NAFTA - Mexico. 2004.||F1 hybrid.
